SYMBOL,SYMBOL_NAME,SYMBOL_TYPE,SYMBOL_NAME_FULL
^DJI,Dow Jones,market index,Dow Jones (^DJI)
^FTSE,FTSE 100,market index,FTSE 100 (^FTSE)
^GDAXI,DAX Index,market index,DAX Index (^GDAXI)
^GSPC,S&P500,market index,S&P500 (^GSPC)
^HSI,Hang Seng Index,market index,Hang Seng Index (^HSI)
^IXIC,Nasdaq,market index,Nasdaq (^IXIC)
^NYA,NYSE Composite,market index,NYSE Composite (^NYA)
^RUT,Russell 2000,market index,Russell 2000 (^RUT)
^VIX,CBOE Volitility,market index,CBOE Volitility (^VIX)
CL=F,Crude Oil,commodity,Crude Oil (CL=F)
GC=F,Gold,commodity,Gold (GC=F)
NG=F,Natural Gas,commodity,Natural Gas (NG=F)
PL=F,Platinum,commodity,Platinum (PL=F)
SI=F,Silver,commodity,Silver (SI=F)
SB=F,Sugar,agriculture,Sugar (SB=F)
CC=F,Cocoa,agriculture,Cocoa (CC=F)
CT=F,Cotton,agriculture,Cotton (CT=F)
KC=F,Coffee,agriculture,Coffee (KC=F)
ZC=F,Corn,agriculture,Corn (ZC=F)
ZS=F,Soybean,agriculture,Soybean (ZS=F)
^FVX,Treasury Yield 5 Years,US Treasure Bills,Treasury Yield 5 Years (^FVX)
^IRX,Treasury Bill 13 Week,US Treasure Bills,Treasury Bill 13 Week (^IRX)
^TNX,Treasury Yield 10 Years,US Treasure Bills,Treasury Yield 10 Years (^TNX)
^TYX,Treasury Yield 30 Years,US Treasure Bills,Treasury Yield 30 Years (^TYX)
